index,hor_pix_blb,vrt_pix_blb,lng_bor,area,hor_overl,vrt_overl,clr_score79,21933,24432,0
ISIC_0013393,18492,3422816,87110,110027,1
ISIC_0013399,7977,618679,41110,46226,2
ISIC_0013416,10758,163975,8403,9404,3
ISIC_0013421,20979,1837528,94318,91800,2
ISIC_0013465,8634,255506,8791,9608,2
ISIC_0013511,6846,432189,47403,50357,1
ISIC_0013512,7632,103142,2841,3601,2
ISIC_0013527,1926,32944,2249,2669,0
ISIC_0013529,9471,487815,18170,18785,2
ISIC_0013561,6822,435348,11624,6613,1
ISIC_0013562,11316,681634,26599,22970,0
ISIC_0013600,11871,1280206,22047,29448,0
ISIC_0013602,6843,430573,19830,22601,0
ISIC_0013632,11547,1363349,99496,115526,1
ISIC_0013637,12297,791346,23404,23649,1
ISIC_0013673,3930,154314,3273,3967,0
ISIC_0013708,30036,6937317,486823,452399,2
ISIC_0013738,8274,102081,3065,3073,2
ISIC_0013764,14526,2122731,177892,169230,1
ISIC_0013793,8199,301302,34830,38826,1
ISIC_0013794,9741,247847,8010,13970,0
ISIC_0013809,17874,3168278,128990,123859,0
ISIC_0013863,3393,108573,9005,8829,0
ISIC_0013891,3678,136383,2402,3090,0
ISIC_0013897,19707,380639,17059,19459,1
ISIC_0013898,10728,586840,51310,48771,1
ISIC_0013911,10842,179123,6823,15936,2
ISIC_0013945,9183,262402,23890,26017,0
ISIC_0013966,4050,159509,15620,14426,1
ISIC_0013977,5691,319329,27234,29929,0
ISIC_0013998,7800,544704,13266,24717,2
ISIC_0014006,9480,910219,16799,19728,1
ISIC_0014038,16062,1072524,46885,67996,2
ISIC_0014055,28845,4043937,405319,429634,1
ISIC_0014090,11979,138667,9512,7033,2
ISIC_0014117,20004,467916,20393,30690,1
ISIC_0014139,12321,807751,25192,39823,2
ISIC_0014162,7932,307338,19731,28521,0
ISIC_0014177,8097,659712,26526,30159,0
ISIC_0014178,11184,574904,71132,25949,1
ISIC_0014211,16407,1344978,84686,76058,2
ISIC_0014212,35580,6376677,663578,526017,1
ISIC_0014251,9810,965624,22350,25500,1
ISIC_0014278,6216,411598,10916,7715,1
ISIC_0014310,10323,589944,7261,8584,2
ISIC_0014382,24729,2726452,343956,325450,2
ISIC_0014386,18930,3425891,162076,167917,0
ISIC_0014392,17265,3050435,66280,73600,1
ISIC_0014409,24114,497003,12878,22095,2
ISIC_0014419,19962,3644446,44567,193981,0
ISIC_0014457,24915,5907395,276063,209752,0
ISIC_0014470,11769,698115,53511,39358,0
ISIC_0014474,13752,1932801,55289,34613,0
ISIC_0014500,17988,3376007,100066,86670,0
ISIC_0014503,11730,1455516,18939,19898,0
ISIC_0014567,19707,509596,25443,25931,1
ISIC_0014568,6900,478914,24042,28331,0
ISIC_0014572,7272,274107,18704,16829,1
ISIC_0014574,12258,176803,23255,25620,0
ISIC_0014575,14064,237288,31565,35523,0
ISIC_0014586,19836,3994848,104022,154320,0
ISIC_0014587,14406,206020,21294,21332,0
ISIC_0014588,4251,43368,1656,2047,2
ISIC_0014590,3351,101167,6527,8123,2
ISIC_0014597,3387,60042,7504,7822,1
ISIC_0014600,12744,229797,26775,25664,1
ISIC_0014601,8634,728470,67901,82708,0
ISIC_0014608,13266,802550,50841,63704,0
ISIC_0014790,59292,26123696,1158084,781098,2
ISIC_0014795,36042,5512605,670624,362935,2
ISIC_0014800,78453,8040634,336693,346087,1
ISIC_0014809,31773,4795895,193792,146167,2
ISIC_0014826,36381,13794423,373601,311035,1
ISIC_0014832,46122,7865441,899375,612734,1
ISIC_0014857,61056,18293695,878320,463082,1
ISIC_0014862,238920,12084417,678454,1691674,1
ISIC_0014872,51426,20451442,591418,729334,2
ISIC_0014883,109179,10042574,1687108,1634110,1
ISIC_0014891,58326,15730547,457519,594855,2
ISIC_0014897,35226,6478268,326187,265176,3
ISIC_0014912,432048,11982690,1454432,1001425,1
ISIC_0014919,32730,5246825,546912,516191,2
ISIC_0014920,27714,3895602,187743,171496,1
ISIC_0014922,48324,11536159,442825,473665,1
ISIC_0014928,82293,2817488,134553,115766,1
ISIC_0014931,45402,7896961,413659,554913,1
ISIC_0014932,453012,17462907,734526,693540,1
ISIC_0014946,41859,9223399,274631,279369,2
ISIC_0014951,60432,17345853,1130770,472245,1
ISIC_0014963,196893,21995839,1384005,1321813,2
ISIC_0014975,37980,11115085,1140287,1172680,1
ISIC_0014979,43293,15588492,1262364,1189605,1
ISIC_0014982,34815,11188949,417930,389061,1
ISIC_0014983,47283,10491463,749151,704106,1
ISIC_0014985,62379,17073698,1389184,1618025,2
ISIC_0014987,35127,5121030,242108,383783,1
ISIC_0015004,43704,17370423,387059,1367109,0
ISIC_0015005,25851,5134485,754894,258097,1
